Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Predicted,Total_Income,EMI,Loan_Income_Percentage,Ethical_Audit_Flag
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0,0,6277.0,327.77777777777777,0.05221885897367815,Compliant
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,1,1,6486.0,505.55555555555554,0.07794566073937026,Compliant
LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,1,1,9963.0,500.0,0.05018568704205561,Compliant
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,1,1,6760.0,472.22222222222223,0.06985535831689678,Compliant
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,1,1,6816.0,277.77777777777777,0.040753781950965046,Compliant
LP001656,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,0,1,12000.0,455.55555555555554,0.03796296296296296,Compliant
LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,1,1,10139.0,722.2222222222222,0.07123209608661822,Compliant
LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,1,1,5529.0,450.0,0.08138903960933261,Compliant
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,1,1,8566.0,583.3333333333334,0.0680986847225465,Compliant
LP002239,Male,No,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,1,1,3946.0,366.6666666666667,0.09292110153742186,Compliant
LP002226,Male,Yes,0,Graduate,,3333,2500.0,128.0,360.0,1.0,Semiurban,1,1,5833.0,355.55555555555554,0.06095586414461779,Compliant
LP002106,Male,Yes,,Graduate,Yes,5503,4490.0,70.0,,1.0,Semiurban,1,1,9993.0,,,Compliant
LP002190,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,1,1,6325.0,486.1111111111111,0.07685551163812034,Compliant
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,1,1,6296.0,333.3333333333333,0.05294366793731469,Compliant
LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,0,0,5230.0,288.8888888888889,0.05523688124070534,Compliant
LP002682,Male,Yes,,Not Graduate,No,3074,1800.0,123.0,360.0,0.0,Semiurban,0,0,4874.0,341.6666666666667,0.07009984954178636,Compliant
LP002603,Female,No,0,Graduate,No,645,3683.0,113.0,480.0,1.0,Rural,1,1,4328.0,235.41666666666666,0.05439386937769562,Compliant
LP002287,Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,0,0,3300.0,286.1111111111111,0.0867003367003367,Compliant
LP002335,Female,Yes,0,Not Graduate,No,2149,3237.0,178.0,360.0,0.0,Semiurban,0,0,5386.0,494.44444444444446,0.09180179065065809,Compliant
LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188.0,360.0,1.0,Urban,1,1,5492.0,522.2222222222222,0.09508780448328881,Compliant
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,0,0,11500.0,794.4444444444445,0.06908212560386473,Compliant
