Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit Score,Has Credit Card,Is Active Member,Age,Total_Income,EMI,Loan_Income_Percentage,Predicted,Ethical_Audit_Flag
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,1,724,0,0,22,4545.0,288.8888888888889,0.06356191174673023,1,Compliant
LP001868,Male,No,0,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,1,601,1,1,30,4269.0,372.22222222222223,0.08719190026287707,1,Compliant
LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,0,758,0,0,25,5681.0,413.8888888888889,0.0728549355551644,0,Compliant
LP001370,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,0,778,0,1,18,7333.0,333.3333333333333,0.04545661166416655,1,Compliant
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1,418,1,0,30,7040.0,519.4444444444445,0.07378472222222222,1,Compliant
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,0.0,Rural,0,465,1,0,24,6979.0,186.11111111111111,0.026667303497794972,1,Compliant
LP002130,Male,Yes,,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,0,401,1,1,59,6753.0,422.22222222222223,0.06252365203942281,0,Compliant
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,0.0,Semiurban,1,535,0,1,61,4310.0,361.1111111111111,0.08378448053622067,1,Compliant
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,823,1,1,55,5540.0,438.8888888888889,0.07922182109907742,0,Compliant
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,1,813,0,1,43,2904.0,272.22222222222223,0.09374043464952556,1,Compliant
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,0,795,0,1,30,1950.0,375.0,0.19230769230769232,0,Compliant
LP001806,Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,1,306,0,0,42,8666.0,2583.3333333333335,0.2980998538349104,1,Compliant
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1,663,1,0,20,10330.0,500.0,0.0484027105517909,1,Compliant
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,0,831,0,1,61,24996.0,1583.3333333333333,0.06334346828825946,1,Compliant
LP002682,Male,Yes,,Not Graduate,No,3074,1800.0,123.0,360.0,0.0,Semiurban,0,730,0,1,25,4874.0,341.6666666666667,0.07009984954178636,0,Compliant
LP002588,Male,Yes,0,Graduate,No,4625,2857.0,111.0,12.0,0.0,Urban,1,486,1,1,26,7482.0,9250.0,1.2363004544239509,1,Flag: Approved w/ Poor Credit & High EMI
LP002335,Female,Yes,0,Not Graduate,No,2149,3237.0,178.0,360.0,0.0,Semiurban,0,302,0,1,21,5386.0,494.44444444444446,0.09180179065065809,0,Compliant
LP002126,Male,Yes,3+,Not Graduate,No,3173,0.0,74.0,360.0,1.0,Semiurban,1,815,1,0,58,3173.0,205.55555555555554,0.06478271527121196,1,Compliant
LP001883,Female,No,0,Graduate,,3418,0.0,135.0,360.0,1.0,Rural,0,658,1,0,45,3418.0,375.0,0.10971328262141604,0,Flag: Female Rejected w/ Good Credit
